S130205	300	0	0	5.700	342	5
S130206	300	0	1	5.9	354	9
S130207	300	0	2	6	360	12
S130208	300	35	0	5.4	324	26
S130209	300	35	1	5.9	354	33
S130210	300	35	2	6.5	390	35
S130211	300	100	0	5.2	312	89
S130212	300	100	1	6.8	408	94
S130213	300	100	2	6.8	408	98
S130214	500	0	0	8	480	4
S130215	500	0	1	9.3	558	10
S130216	500	0	2	9.2	552	12
S130217	500	35	0	8.6	516	24
S130218	500	35	1	8.9	534	34
S130219	500	35	2	9.7	582	39
S130220	500	100	0	8.6	516	86
S130221	500	100	1	9.3	558	94
S130222	500	100	2	10.6	636	102
S130223	600	0	0	10	600	5
S130224	600	0	1	10.4	624	10
S130225	600	0	2	10.6	636	13
S130226	600	35	0	10	600	29
S130227	600	35	1	10.2	612	34
S130228	600	35	2	10.6	636	37
S130229	600	100	0	9.8	588	88
S130230	600	100	1	10.3	618	91
S130231	600	100	2	10.9	654	100
S130232	700	0	0	12	720	7
S130233	700	0	1	13.2	792	9
S130234	700	0	2	13.1	786	9
S130235	700	35	0	12.4	744	28
S130236	700	35	1	12.8	768	30
S130237	700	35	2	13.2	792	33
S130238	700	100	0	12.9	774	90
S130239	700	100	1	12.8	768	90
S130240	700	100	2	13.3	798	98
S130241	900	0	0	14.4	864	7
S130242	900	0	1	14.7	882	12
S130243	900	0	2	16.5	990	15
S130244	900	35	0	15.1	906	30
S130245	900	35	1	15.3	918	35
S130246	900	35	2	16.3	978	37
S130247	900	100	0	14.9	894	93
S130248	900	100	1	15.8	948	94
S130249	900	100	2	17.6	1056	96					
S130250	plasma	0	0	1.9	114	3
S130251	300	35	3	7.1	426	35
S130252	1500	35	0	22.6	1356	26
S130253	600	150	0	8.8	528	141
S130254	900	35	3	15.8	948	36
